Year,Approving State Agency,Training Agency Site Name,Operational Status,Certificate Type,Methodology,Language,Number of Training Classes,Enrolled Student Count,Approved Student Count,Certified Student Count,Withdrawn Student Count,Street Address,City,State,Zip Code,County Name,County Code,Region
2019,Department of Health,People Care Inc.,OPEN,Home Health Aide,Core Training,English,2,33,21,21,17,413 East 120 Street  room 410,New York,NY,10035,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,SPECIAL TOUCH HOME CARE SERVICES,OPEN,Home Health Aide,Core Training,English,3,23,22,24,2,929 KINGS HIGHWAY,BROOKLYN,NY,11230,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                 
2019,Education Department - BPSS,Home Health Aide Training Institute,OPEN,Personal Care Aide,Basic Training,English,3,5,5,5,0,321 Post Avenue,Westbury,NY,11590,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                          
2019,Department of Health,"The Family & Children's Society, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,257 Main Street,Binghamton,NY,13905,Broome,7,Central New York                                                                                                                                                                                                                                                                                                      
2019,Department of Health,"Hudson Valley Home Health Care, LLC",OPEN,Home Health Aide,Core Training,English,1,6,4,4,2,21 Riverside Drive,Middletown,NY,10941,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"South Shore Home Health Services, Inc.",OPEN,Personal Care Aide,Basic Training,English,1,7,7,7,0,1225-2 Montauk Highway,Oakdale,NY,11769,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Health Services of Northern New York,OPEN,Home Health Aide,Competency Evaluation,English,3,3,2,2,1,56 Market Street,Potsdam,NY,13676,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                       
2019,Department of Health,HCR - ROCHESTER,OPEN,Home Health Aide,Nurse Aide Transition,English,5,38,22,22,16,85 METRO PARK,ROCHESTER,NY,14623,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                                         
2019,Department of Health,HHA Training Program,OPEN,Home Health Aide,Nurse Aide Transition,English,2,3,3,3,0,155 Finney Blvd,Malone,NY,12953,Franklin,33,Capital District                                                                                                                                                                                                                                                                                                                                           
2019,Department of Health,Peconic Landing Home Health Services,OPEN,Home Health Aide,Core Training,English,1,6,6,6,0,1500 Brecknock Road,Greenport,NY,11944,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Willcare, Inc. - Middletown",OPEN,Personal Care Aide,Basic Training,English,1,3,3,3,0,"726 East Main Street,Suite 501",Middletown,NY,10940,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                   
2019,Department of Health,Caregivers - Utica,OPEN,Personal Care Aide,Basic Training,English,1,3,3,3,0,1900 Genesee Street,Utica,NY,13502,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,"BESTCARE, INC FOREST HILLS",OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,70-50 AUSTIN STREET,FOREST HILLS,NY,11375,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                         
2019,Department of Health,Liberty Home Care,OPEN,Personal Care Aide,Basic Training,English,4,29,25,25,4,2424 Niagara Falls Blvd.,Niagara Falls,NY,14304,Niagara,63,Western  - Buffalo                                                                                                                                                                                                                                                                                                                               
2019,Education Department - BPSS,FOB SCHOOL OF HEALTH CAREERS,OPEN,Home Health Aide,Core Training,English,11,44,52,52,2,9601 FLATLANDS AVE,BROOKLYN,NY,11236,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Bestcare, Inc. - New York",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,10,17,17,2,"260 West 36th Street,Suite 400",New York,NY,10018,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                       
2019,Education Department - BPSS,BEACON HEALTHCARE SCHOOL,OPEN,Home Health Aide,Core Training,English,24,79,58,58,9,"1815 AVENUE M, 2ND FLOOR",BROOKLYN,NY,11230,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                        
2019,Department of Health,INTERIM HEALTH CARE OF THE CAPITAL REGION,OPEN,Home Health Aide,Competency Evaluation,English,3,6,6,6,0,1735 CENTRAL AVE,ALBANY,NY,12205,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,Preferred Home Care of New York,OPEN,Personal Care Aide,Basic Training,English,1,5,5,5,0,18 Court Street,White Plains,NY,10601,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                          
2019,Department of Health,VISITING NURSES SERVICE SIGNATURE CARE,OPEN,Home Health Aide,Nurse Aide Transition,English,3,5,5,5,0,65 COLLEGE AVENUE,ROCHESTER,NY,14607,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Recco Home Care - Massapequa,OPEN,Home Health Aide,Competency Evaluation,English,2,3,3,3,0,553 Broadway,Massapequa,NY,11758,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Interim HealthCare,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,11,14,18,18,0,"38 Front St,Suite D",Binghamton,NY,13905,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            
2019,Education Department - BPSS,Efficient Care Training Center,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,1,2,2,0,54 06 Myrtle Avenue,Ridgewood,NY,11385,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                              
2019,Department of Health,woodhaven adult home,OPEN,Personal Care Aide,Basic Training,English,1,1,1,1,0,1350 route 12,port jefferson ,NY,11776,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                       
2019,Department of Health,Presbyterian Residential Community,OPEN,Home Health Aide,Competency Evaluation,English,2,2,3,3,0,4300 Middle Settlement Road,New Hartford,NY,13413,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                             
2019,Department of Health,"Broadway Health Care Staffing, Inc. ",OPEN,Personal Care Aide,Basic Training,English,5,73,39,39,16,140 Erie Blvd,Schenectady,NY,12305,Schenectady,93,Capital District                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Recco Home Care - New Rochelle,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,2,2,2,0,"145 Huguenot Street,Suite MZ1A",New Rochelle,NY,10801,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                    
2019,Department of Health,HEALTH FORCE CHEEKTOWAGA,OPEN,Home Health Aide,Nurse Aide Transition,English,3,12,12,12,2,3409 GENESEE STREET,CHEEKTOWAGA,NY,14225,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                             
2019,Department of Health,Buffalo,OPEN,Personal Care Aide,Basic Training,English,3,14,14,14,0,"3620 Harlem Road,Suite 16",Buffalo,NY,14215,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                               
2019,Department of Health,"Jzanus Home Care, Inc.",OPEN,Home Health Aide,Nurse Aide Transition,English,2,3,4,4,0,170 Jericho Turnpike,Floral Park,NY,11001,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                               
2019,Department of Health,Huntington,OPEN,Home Health Aide,Core Training,English,3,13,6,6,0,"755 New York Avenue,Suite 102",Huntington,NY,11743,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,Hudson Valley Hospice / Hyde Park ALF,OPEN,Home Health Aide,Nurse Aide Transition,English,2,3,3,3,0,374 Violet Ave,Poughkeepsie,NY,12601,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                    
2019,Department of Health,"Selfhelp Community Services, Inc.",OPEN,Personal Care Aide,Basic Training,English,1,9,9,9,0,498 Union Avenue,Westbury,NY,11590,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"PREMIER HOME HEALTH CARE SERVICES, INC STATEN ISLA",OPEN,Home Health Aide,Nurse Aide Transition,English,0,0,0,0,2,1369 NORTH RAILROAD AVENUE,STATEN ISLAND,NY,10306,Richmond,85,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                       
2019,Department of Health,Changing Seasons Home Care,OPEN,Personal Care Aide,Basic Training,English,1,6,5,5,1,214 Highbridge Street,Fayetteville,NY,13066,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                              
2019,Department of Health,Samaritan Summit Village,OPEN,Home Health Aide,Core Training,English,1,5,5,5,0,22691 Campus Drive,Watertown,NY,13601,Jefferson,45,Central New York                                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,Stafkings Healthcare,OPEN,Home Health Aide,Nurse Aide Transition,English,2,2,2,2,0,417 Electronics Parkway,Liverpool,NY,13088,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,SELF HELP COMMUNITY SERVICES NEW YORK,OPEN,Home Health Aide,Core Training,English,7,108,105,105,31,520 8TH AVENUE 5TH FLOOR,NEW YORK,NY,10001,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                              
2019,Department of Health,"A & T Healthcare, LLC - Newburgh",OPEN,Personal Care Aide,Basic Training,English,1,2,2,8,0,20 Route 17K,Newburgh,NY,12550,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Westchester Family Care HHA Training,OPEN,Home Health Aide,Core Training,English,1,6,6,6,0,"200 Katonah Avenue,3rd Floor",Katonah,NY,10536,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                              
2019,Education Department - BPSS,Cudley's Training Program,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,7,24,27,27,0,"391 East 149th Street, Suite 521",Bronx,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                       
2019,Department of Health,PERSONAL TOUCH HOME CARE INC STATEN ISLAND,OPEN,Home Health Aide,Core Training,English,5,76,56,70,251,150 Bay Street,STATEN ISLAND,NY,10301,Richmond,85,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                
2019,Department of Health,PERSONAL TOUCH HOME CARE INC JAMAICA,OPEN,Home Health Aide,Core Training,English,1,0,0,0,64,186-18 HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          
2019,Department of Health,"Aftercare Nursing Service, Inc.",OPEN,Personal Care Aide,Basic Training,English,1,3,3,3,0,411 West 3rd Street,Jamestown,NY,14701,Chautauqua,13,Western  - Buffalo                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,"Any-Time Home Care, Inc. - Hudson",OPEN,Personal Care Aide,Basic Training,English,1,3,3,3,0,"160 Fairview Avenue,Suite 913",Hudson,NY,12534,Columbia,21,Capital District                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Caregivers,OPEN,Home Health Aide,Nurse Aide Transition,English,6,7,7,7,0,2465 Sheridan Drive,Tonawanda,NY,14150,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,"US Care Systems, Inc. - Oneonta",OPEN,Personal Care Aide,Basic Training,English,2,7,5,5,2,396 Chestnut Street,Oneonta,NY,13820,Otsego,77,Capital District                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,HILLTOP LICENSED HOME HEALTH AGENCY,OPEN,Home Health Aide,Nurse Aide Transition,English,1,3,3,3,0,286 DEYO HILL ROAD,JOHNSON CITY,NY,13790,Broome,7,Central New York                                                                                                                                                                                                                                                                                                                      
2019,Department of Health,"Franciscan Health Support, Inc.",OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,7246 Janus Park Drive,Liverpool,NY,13088,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                     
2019,Education Department - BPSS,"Learning Center for Health Care Attendants, Inc.",OPEN,Home Health Aide,Core Training,English,6,75,57,57,11,"906 East 180th Street,Suite 206",Bronx,NY,10460,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                           
2019,Education Department - BPSS,"Excel Career Training School, Inc.",OPEN,Home Health Aide,Core Training,English,11,298,306,306,7,32-09 Junction Blvd,East Elmhurst,NY,11369,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                          
2019,Department of Health,Community Health Aide Services,OPEN,Personal Care Aide,Basic Training,English,4,37,28,28,9,"99 Mamaroneck Ave #6, 2nd FL",White Plains,NY,10601,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                         
2019,Department of Health,"Best Care, Inc. - Hempstead",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,0,0,0,0,4,"50 Clinton Street,Suite 203",Hempstead,NY,11550,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                  
2019,Department of Health,PARTNERS IN CARE,OPEN,Home Health Aide,Competency Evaluation,English,8,72,45,45,8,220 East 42nd Street,New York,NY,10017,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,AIDES AT HOME INC STATEN ISLAND,OPEN,Home Health Aide,Core Training,English,1,8,8,8,0,"37 NEW DORP PLAZA,Suite 202",STATEN ISLAND,NY,10305,Richmond,85,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                 
2019,Department of Health,"Bestcare, Inc. Brooklyn",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,5,66,55,55,3,1781 Flatbush Ave.,Brooklyn,NY,11210,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          
2019,Education Department - EMSC,Otsego Area Occupational Center,OPEN,Home Health Aide,Core Training,English,1,5,20,20,0,1914 County Route 35,Milford,NY,13807,Delaware,25,Capital District                                                                                                                                                                                                                                                                                                                         
2019,Department of Health,SUMMIT HOME HEALTH CARE,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,1797 CONEY ISLAND AVENUE,BROOKLYN,NY,11230,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                              
2019,Department of Health,Classen Home Health Associates,OPEN,Personal Care Aide,Basic Training,English,1,5,0,0,1,"222 Elmira Road, Suite 3",Ithaca,NY,14850,Tompkins,109,Central New York                                                                                                                                                                                                                                                                                                                          
2019,Education Department - BPSS,"Daisley Institute, Inc",OPEN,Home Health Aide,Core Training,English,9,203,213,213,3,"229 Empire Boulevard,Unit 3",Brooklyn,NY,11225,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                   
