Measurement Year,Facility Name,Facility ID,Facility OPCERT,Facility Medicare Number,Measure Short Name,Measure Full Name,Measure ID Number,First Quintile,Second Quintile,Third Quintile,Fourth Quintile,Fifth Quintile,Numeric Value,Character Value,Quintile,Points,Comments,City,County,Region,Current Facility Name,Location
2017,Baird Nursing Home LLC,434,2701357,335825,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,48.6,,Rochester,Monroe,WRO,Baird Nursing Home LLC,"(43.1957, -77.6178)"
2017,The Pines Healthcare & Rehabilitation Centers Olean Campus,71,401303,335357,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,48,,Olean,Cattaraugus,WRO,The Pines Healthcare & Rehabilitation Centers Olean Campus,"(42.0771, -78.4574)"
2017,Meadowbrook Healthcare,140,901303,335438,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,51,,Plattsburgh,Clinton,CDRO,Meadowbrook Healthcare,"(44.7035, -73.474)"
2017,Brighton Manor,446,2701354,335473,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,27.4,,Rochester,Monroe,WRO,Brighton Manor,"(43.1493, -77.5448)"
2017,Ellicott Center for Rehabilitation and Nursing,254,1401337,335437,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,32,,Buffalo,Erie,WRO,Ellicott Center for Rehabilitation and Nursing,"(42.8904, -78.8836)"
2017,Elderwood at Lancaster,272,1406303,335577,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,71,,Lancaster,Erie,WRO,Elderwood at Lancaster,"(42.8928, -78.6848)"
2017,The Baptist Home at Brookmeade,195,1327301,335613,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,51,,Rhinebeck,Dutchess,MARO,The Baptist Home at Brookmeade,"(41.9265, -73.8921)"
2017,"Batavia Health Care Center, LLC",343,1801307,335202,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42.1,,Batavia,Genesee,WRO,The Grand Rehabilitation and Nursing at Batavia,"(43.0098, -78.1818)"
2017,Lewis County General Hospital-Nursing Home Unit,384,2424000,335428,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,57,,Lowville,Lewis,CNYRO,Lewis County General Hospital-Nursing Home Unit,"(43.7957, -75.4981)"
2017,Cuba Memorial Hospital Inc SNF,38,226000,335364,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,50.5,,Cuba,Allegany,WRO,Cuba Memorial Hospital Inc SNF,"(42.2135, -78.2875)"
2017,Alpine Rehabilitation and Nursing Center,364,2129303,335586,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,56,,Little Falls,Herkimer,CNYRO,Alpine Rehabilitation and Nursing Center,"(43.0532, -74.8516)"
2017,Mohawk Valley Health Care Center,357,2101301,335386,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,30,,Ilion,Herkimer,CNYRO,The Grand Rehabilitation and Nursing at Mohawk,"(43.0184, -75.0473)"
2017,Samaritan Keep Nursing Home Inc,368,2201000,335431,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,38.9,,Watertown,Jefferson,CNYRO,Samaritan Keep Nursing Home Inc,"(43.9644, -75.9142)"
2017,"Avon Nursing Home, LLC",387,2520301,335216,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Avon,Livingston,WRO,"Avon Nursing Home, LLC","(42.9077, -77.7383)"
2017,Clinton County Nursing Home,144,952300,335598,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Plattsburgh,Clinton,CDRO,Clinton County Nursing Home,"(44.6807, -73.4565)"
2017,The Friendly Home,464,2750301,335476,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,60,,Rochester,Monroe,WRO,The Friendly Home,"(43.1269, -77.5277)"
2017,"The Brightonian, Inc",463,2750307,335554,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,35,,Rochester,Monroe,WRO,"The Brightonian, Inc","(43.1257, -77.5864)"
2017,"Heritage Village Rehab and Skilled Nursing, Inc.",112,662301,335353,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,60,,Gerry,Chautauqua,WRO,"Heritage Village Rehab and Skilled Nursing, Inc.","(42.1962, -79.2519)"
2017,Garden Gate Health Care Facility,294,1455300,335634,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,78,,Cheektowaga,Erie,WRO,Garden Gate Health Care Facility,"(42.8765, -78.7533)"
2017,St. Peter's Nursing And Rehabilitation Center,17,101305,335128,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Albany,Albany,CDRO,St. Peter's Nursing And Rehabilitation Center,"(42.6533, -73.805)"
2017,Valley View Manor Nursing Home,131,824303,335208,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,40,,Norwich,Chenango,CNYRO,Valley View Manor Nursing Home,"(42.5349, -75.5128)"
2017,Daughters of Sarah Nursing Center,22,101312,335465,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,56,,Albany,Albany,CDRO,Daughters of Sarah Nursing Center,"(42.6999, -73.8516)"
2017,"The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabil",92,566302,335382,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,43,,Auburn,Cayuga,CNYRO,"The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community","(42.918, -76.5815)"
2017,Fulton Center for Rehabilitation and Healthcare,337,1754301,335091,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,47,,Gloversville,Fulton,CDRO,Fulton Center for Rehabilitation and Healthcare,"(43.0723, -74.3705)"
2017,Oneida Healthcare,398,2601001,335427,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,53,,Oneida,Madison,CNYRO,Oneida Health Rehabilitation and Extended Care,"(43.0787, -75.6546)"
2017,Willow Point Rehabilitation and Nursing Center,64,364301,335291,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,57,,Vestal,Broome,CNYRO,Willow Point Rehabilitation and Nursing Center,"(42.1009, -75.9858)"
2017,Nathan Littauer Hospital Nursing Home,331,1701000,335351,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,74,,Gloversville,Fulton,CDRO,Nathan Littauer Hospital Nursing Home,"(43.0681, -74.3306)"
2017,The Grand Rehabilitation and Nursing at Pawling,189,1322302,335458,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,57,,Pawling,Dutchess,MARO,The Grand Rehabilitation and Nursing at Pawling,"(41.5744, -73.5919)"
2017,Beechwood Homes,288,1451306,335468,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,46,,Getzville,Erie,WRO,Beechwood Homes,"(43.0092, -78.773)"
2017,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",278,1422303,335281,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,35,,East Aurora,Erie,WRO,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","(42.7681, -78.6235)"
2017,Highland Park Rehabilitation and Nursing Center,41,228306,335210,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,47,,Wellsville,Allegany,WRO,Highland Park Rehabilitation and Nursing Center,"(42.1231, -77.9613)"
2017,Sapphire Nursing at Wappingers,191,1324303,335275,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,23.3,,Wappingers Falls,Dutchess,MARO,Sapphire Nursing at Wappingers,"(41.5947, -73.9177)"
2017,Maplewood Nursing Home Inc,462,2729300,335572,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,67,,Webster,Monroe,WRO,Maplewood Nursing Home Inc,"(43.213, -77.4351)"
2017,"The Shore Winds, LLC",437,2701359,335082,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,47,,Rochester,Monroe,WRO,"The Shore Winds, LLC","(43.2624, -77.6147)"
2017,The Pines at Poughkeepsie Center for Nursing & Rehabilitation,186,1302308,335440,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,49,,Poughkeepsie,Dutchess,MARO,The Pines at Poughkeepsie Center for Nursing & Rehabilitation,"(41.696, -73.9296)"
2017,Seneca Health Care Center,300,1474301,335504,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,73,,West Seneca,Erie,WRO,Seneca Health Care Center,"(42.8396, -78.7825)"
2017,Church Home of the Protestant Episcopal Church,444,2701339,335263,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,61,,Rochester,Monroe,WRO,Church Home of the Protestant Episcopal Church,"(43.1402, -77.6138)"
2017,Robinson Terrace Rehabilitation and Nursing Center,169,1225000,335236,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,36,,Stamford,Delaware,CDRO,Robinson Terrace Rehabilitation and Nursing Center,"(42.4118, -74.5981)"
2017,Elderwood at Amherst,232,1451307,335056,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,53,,Amherst,Erie,WRO,Elderwood at Amherst,"(42.977, -78.8137)"
2017,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,65,,Allegany,Cattaraugus,WRO,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","(42.0946, -78.4899)"
2017,Premier Genesee Center for Nursing and Rehabilitation,344,1801308,335423,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,44,,Batavia,Genesee,WRO,Premier Genesee Center for Nursing and Rehabilitation,"(43.0087, -78.1775)"
2017,Fairport Baptist Homes,459,2725300,335576,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,54,,Fairport,Monroe,WRO,Fairport Baptist Homes,"(43.1099, -77.4417)"
2017,Schofield Residence,269,1404300,335603,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,64,,Kenmore,Erie,WRO,Schofield Residence,"(42.9884, -78.8786)"
2017,"Susquehanna Nursing & Rehabilitation Center, LLC",60,303307,335393,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,45,,Johnson City,Broome,CNYRO,"Susquehanna Nursing & Rehabilitation Center, LLC","(42.1003, -75.9588)"
2017,The Pines Healthcare & Rehabilitation Centers  Machias Campus,83,469300,335578,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,63,,Machias,Cattaraugus,WRO,The Pines Healthcare & Rehabilitation Centers  Machias Campus,"(42.4259, -78.4888)"
2017,Hudson Park Rehabilitation and Nursing Center,21,101315,335368,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Albany,Albany,CDRO,Hudson Park Rehabilitation and Nursing Center,"(42.6709, -73.7537)"
2017,Northwoods Rehabilitation and Nursing Center at Moravia,96,526304,335077,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,56,,Moravia,Cayuga,CNYRO,Northwoods Rehabilitation and Nursing Center at Moravia,"(42.7149, -76.4228)"
2017,Plattsburgh Rehabilitation and Nursing Center,139,901304,335528,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,35,,Plattsburgh,Clinton,CDRO,Plattsburgh Rehabilitation and Nursing Center,"(44.6828, -73.4601)"
2017,Teresian House Nursing Home Co Inc,23,101313,335627,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,37,,Albany,Albany,CDRO,Teresian House Nursing Home Co Inc,"(42.7021, -73.8542)"
2017,Mountainside Residential Care Center,171,1226300,335339,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,63,,Margaretville,Delaware,CDRO,Mountainside Residential Care Center,"(42.1474, -74.6417)"
2017,The Grand Rehabilitation and Nursing at Guilderland,33,155304,335540,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,14,,Altamont,Albany,CDRO,The Grand Rehabilitation and Nursing at Guilderland,"(42.7022, -73.9617)"
2017,Penfield Place,478,2761303,335407,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,66.3,,Penfield,Monroe,WRO,Penfield Place,"(43.1296, -77.486)"
2017,FoltsBrook Center for Nursing and Rehabilitation,360,2124300,335510,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,43.2,,Herkimer,Herkimer,CNYRO,FoltsBrook Center for Nursing and Rehabilitation,"(43.0263, -74.9846)"
2017,Brothers of Mercy Nursing & Rehabilitation Center,296,1456300,335112,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,68,,Clarence,Erie,WRO,Brothers of Mercy Nursing & Rehabilitation Center,"(42.9661, -78.5942)"
2017,Pine Haven Home,152,1021301,335632,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,38,,Philmont,Columbia,CDRO,Pine Haven Home,"(42.249, -73.6499)"
2017,Elcor Nursing and Rehabilitation Center,124,722304,335053,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,47,,Horseheads,Chemung,WRO,Elcor Nursing and Rehabilitation Center,"(42.1621, -76.8542)"
2017,Mercy Hospital Skilled Nursing Facility,214,1401008,335308,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,63,,Lackawanna,Erie,WRO,Mercy Hospital Skilled Nursing Facility,"(42.8274, -78.8209)"
2017,Ideal Senior Living Center,59,302302,335520,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,63,,Endicott,Broome,CNYRO,Ideal Senior Living Center,"(42.0918, -76.0677)"
2017,Elderwood at Grand Island,299,1464302,335391,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,49,,Grand Island,Erie,WRO,Elderwood at Grand Island,"(43.0391, -78.9794)"
2017,Humboldt House Rehabilitation and Nursing Center,244,1401340,335164,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,37,,Buffalo,Erie,WRO,Humboldt House Rehabilitation and Nursing Center,"(42.9211, -78.8482)"
2017,Salamanca Rehabilitation & Nursing Center,81,433303,335534,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,34,,Salamanca,Cattaraugus,WRO,Salamanca Rehabilitation & Nursing Center,"(42.1576, -78.7321)"
2017,Conesus Lake Nursing Home,392,2525301,335069,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,58.9,,Livonia,Livingston,WRO,Conesus Lake Nursing Home,"(42.8261, -77.6863)"
2017,St Johns Health Care Corporation,442,2701353,335008,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,47,,Rochester,Monroe,WRO,St Johns Health Care Corporation,"(43.13, -77.6097)"
2017,Albany County Nursing Home,30,153302,335425,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,40,,Albany,Albany,CDRO,Shaker Place Rehabilitation and Nursing Center,"(42.7473, -73.8172)"
2017,Latta Road Nursing Home East,475,2701363,335618,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,57.6,,Rochester,Monroe,WRO,Latta Road Nursing Home East,"(43.253, -77.6668)"
2017,Carthage Center for Rehabilitaiton and Nursing,381,2238304,335579,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,34.4,,Carthage,Jefferson,CNYRO,Carthage Center for Rehabilitaiton and Nursing,"(43.9868, -75.592)"
2017,"Safire Rehabilitation of Northtowns, LLC",266,1403304,335180,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,33,,Tonawanda,Erie,WRO,"Safire Rehabilitation of Northtowns, LLC","(42.9807, -78.8298)"
2017,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,49,,Fairport,Monroe,WRO,Aaron Manor Rehabilitation and Nursing Center,"(43.1215, -77.4417)"
2017,Wedgewood Nursing and Rehabilitation Center,457,2722302,335408,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,68.3,,Spencerport,Monroe,WRO,Wedgewood Nursing and Rehabilitation Center,"(43.1926, -77.8021)"
2017,Greene Meadows Nursing and Rehabilitation Center,350,1953300,335574,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,33,,Catskill,Greene,CDRO,Greene Meadows Nursing and Rehabilitation Center,"(42.2318, -73.8783)"
2017,"Northern Dutchess Res Health Care Facility, Inc",193,1327302,335348,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Rhinebeck,Dutchess,MARO,"Northern Dutchess Res Health Care Facility, Inc","(41.935, -73.9114)"
2017,Comprehensive Rehabilitation and Nursing Center at Williamsville,274,1421308,335172,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,28,,Williamsville,Erie,WRO,Comprehensive Rehabilitation and Nursing Center at Williamsville,"(42.9657, -78.7515)"
2017,St. Joseph's Hospital - Skilled Nursing Facility,119,701001,335072,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,57,,Elmira,Chemung,WRO,St. Joseph's Hospital - Skilled Nursing Facility,"(42.0914, -76.7969)"
2017,Essex Center for Rehabilitation and Healthcare,305,1552300,335478,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Elizabethtown,Essex,CDRO,Essex Center for Rehabilitation and Healthcare,"(44.215, -73.5962)"
2017,NYS Veterans Home,133,825301,335097,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,59,,Oxford,Chenango,CNYRO,NYS Veterans Home,"(42.4505, -75.6053)"
2017,Regeis Care Center,1242,7000356,335019,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,53,,Bronx,Bronx,MARO,Regeis Care Center,"(40.8769, -73.8361)"
2017,Mcauley Residence,268,1404000,335433,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,59,,Kenmore,Erie,WRO,Mcauley Residence,"(42.978, -78.8858)"
2017,Latta Road Nursing Home West,473,2701362,335617,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,58.8,,Rochester,Monroe,WRO,Latta Road Nursing Home West,"(43.253, -77.6668)"
2017,Colonial Park Rehabilitation and Nursing Center,592,3201311,335233,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,43,,Rome,Oneida,CNYRO,Colonial Park Rehabilitation and Nursing Center,"(43.2176, -75.4362)"
2017,Long Beach Nursing and Rehabilitation Center,498,2902307,335432,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,40,,Long Beach,Nassau,MARO,Long Beach Nursing and Rehabilitation Center,"(40.5943, -73.6535)"
2017,Sunharbor Manor,548,2951307,335559,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,29,,Roslyn Heights,Nassau,MARO,Sunharbor Manor,"(40.7919, -73.6449)"
2017,Grandell Rehabilitation and Nursing Center,497,2902304,335498,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,49,,Long Beach,Nassau,MARO,Grandell Rehabilitation and Nursing Center,"(40.5847, -73.6829)"
