"Facility ID","Facility Name","Certification Number","Street Address","City","State","Zip","County","Area Office","Phone","Website","Census Date","Week Difference","Week Difference Category","Bed Type","Total Capacity","Available Capacity","Category","Latitude","Longitude"
"33","The Grand Rehabilitation and Nursing at Guilderland","0155304N","428 State Route 146","Altamont","NY","12009","Albany","Capital District Regional Office","518-861-5141","http://thegrandhealthcare.com","05/20/2020","0","0","NHBEDSAV","127","47","5","42.702211","-73.961676"
"38","Cuba Memorial Hospital Inc SNF","0226000N","140 West Main Street","Cuba","NY","14727","Allegany","Western Regional Office - Buffalo","585-968-2000","http://www.cubamemorialhospital.com/longtermcare/","05/13/2020","1","1","NHBEDSAV","61","14","4","42.213474","-78.287506"
"41","Highland Park Rehabilitation and Nursing Center","0228306N","160 Seneca St","Wellsville","NY","14895","Allegany","Western Regional Office - Buffalo","585-593-3750","http://www.highlandparkrehab.com/","05/20/2020","0","0","NHBEDSAV","80","6","3","42.123119","-77.961250"
"41","Highland Park Rehabilitation and Nursing Center","0228306N","160 Seneca St","Wellsville","NY","14895","Allegany","Western Regional Office - Buffalo","585-593-3750","http://www.highlandparkrehab.com/","05/20/2020","0","0","ADHCPSLOTSAV","21","21","5","42.123119","-77.961250"
"48","Elizabeth Church Manor Nursing Home","0301307N","863 Front Street","Binghamton","NY","13905","Broome","Central New York Regional Office","607-722-3463","https://www.unitedmethodisthomes.org/locations/","05/20/2020","0","0","NHBEDSAV","121","20","5","42.118538","-75.906860"
"49","Good Shepherd-Fairview Home Inc","0301305N","80 Fairview Avenue","Binghamton","NY","13904","Broome","Central New York Regional Office","607-724-2477","https://www.goodshepherdcommunities.org/","05/20/2020","0","0","NHBEDSAV","56","2","1","42.110928","-75.876694"
"50","Bridgewater Center for Rehabilitation & Nursing, LLC","0301308N","159-163 Front Street","Binghamton","NY","13905","Broome","Central New York Regional Office","607-722-7225","http://www.bwrehab.com/","05/13/2020","1","1","VENTBEDSAV","12","3","2","42.100979","-75.916901"
"50","Bridgewater Center for Rehabilitation & Nursing, LLC","0301308N","159-163 Front Street","Binghamton","NY","13905","Broome","Central New York Regional Office","607-722-7225","http://www.bwrehab.com/","05/13/2020","1","1","PEDVENTCAP","8",".","1","42.100979","-75.916901"
"50","Bridgewater Center for Rehabilitation & Nursing, LLC","0301308N","159-163 Front Street","Binghamton","NY","13905","Broome","Central New York Regional Office","607-722-7225","http://www.bwrehab.com/","05/13/2020","1","1","NHBEDSAV","356","59","5","42.100979","-75.916901"
"56","Absolut Center for Nursing and Rehabilitation at Endicott, LLC","0302303N","301 Nantucket Drive","Endicott","NY","13760","Broome","Central New York Regional Office","607-754-2705","http://www.absolutcare.com/locations/?id=60","05/20/2020","0","0","NHBEDSAV","160","26","5","42.112522","-76.056824"
"59","Ideal Senior Living Center","0302302N","601 High Avenue","Endicott","NY","13760","Broome","Central New York Regional Office","607-786-7308","http://www.uhs.net/?id=185&sid=1","05/20/2020","0","0","NHBEDSAV","150","8","3","42.091839","-76.067696"
"60","Susquehanna Nursing & Rehabilitation Center, LLC","0303307N","282 Riverside Dr","Johnson City","NY","13790","Broome","Central New York Regional Office","607-729-9206","https://www.susquehannanursing.com/","05/20/2020","0","0","NHBEDSAV","160","53","5","42.100330","-75.958817"
"60","Susquehanna Nursing & Rehabilitation Center, LLC","0303307N","282 Riverside Dr","Johnson City","NY","13790","Broome","Central New York Regional Office","607-729-9206","https://www.susquehannanursing.com/","05/20/2020","0","0","ADHCPSLOTSAV","40","40","5","42.100330","-75.958817"
"64","Willow Point Rehabilitation and Nursing Center","0364301N","3700 Old Vestal Road","Vestal","NY","13850","Broome","Central New York Regional Office","607-763-4400","http://www.gobroomecounty.com/wpnf/","05/20/2020","0","0","NHBEDSAV","300","36","5","42.100857","-75.985847"
"71","The Pines Healthcare & Rehabilitation Centers Olean Campus","0401303N","2245 West State Street","Olean","NY","14760","Cattaraugus","Western Regional Office - Buffalo","716-373-1910","https://pinescare.com/olean","05/20/2020","0","0","NHBEDSAV","120","14","4","42.077087","-78.457413"
"73","Absolut Center for Nursing and Rehabilitation at Allegany, LLC","0420302N","2178 North Fifth Street","Allegany","NY","14706","Cattaraugus","Western Regional Office - Buffalo","716-373-2238","http://www.absolutcare.com/locations/?id=54","05/20/2020","0","0","NHBEDSAV","37","3","2","42.094631","-78.489937"
"81","Salamanca Rehabilitation & Nursing Center","0433303N","451 Broad Street","Salamanca","NY","14779","Cattaraugus","Western Regional Office - Buffalo","716-945-1800","https://salamancarnc.com/","05/20/2020","0","0","NHBEDSAV","120","24","5","42.157581","-78.732101"
"83","The Pines Healthcare & Rehabilitation Centers  Machias Campus","0469300N","9822 Route 16","Machias","NY","14101","Cattaraugus","Western Regional Office - Buffalo","716-353-8516","https://pinescare.com/machias","05/20/2020","0","0","NHBEDSAV","115","6","3","42.425858","-78.488762"
"91","Auburn Rehabilitation & Nursing Center","0501310N","85 Thornton Avenue","Auburn","NY","13021","Cayuga","Central New York Regional Office","315-253-7351","https://auburnrehab.com/","05/20/2020","0","0","NHBEDSAV","92","15","4","42.913609","-76.579185"
"92","The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community","0566302N","3 St Anthony Street","Auburn","NY","13021","Cayuga","Central New York Regional Office","315-253-0351","https://www.lorettocny.org/locations/commons-st-anthony","05/20/2020","0","0","ADHCPSLOTSAV","50","50","5","42.917961","-76.581459"
"92","The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community","0566302N","3 St Anthony Street","Auburn","NY","13021","Cayuga","Central New York Regional Office","315-253-0351","https://www.lorettocny.org/locations/commons-st-anthony","05/20/2020","0","0","NHBEDSAV","300","19","4","42.917961","-76.581459"
"96","Northwoods Rehabilitation and Nursing Center at Moravia","0526304N","7 Keeler Avenue","Moravia","NY","13118","Cayuga","Central New York Regional Office","315-497-0440","http://www.northwoodscenter.com/","05/20/2020","0","0","NHBEDSAV","40","5","2","42.714851","-76.422775"
"99","Chautauqua Nursing and Rehabilitation Center","0601304N","10836 Temple Road","Dunkirk","NY","14048","Chautauqua","Western Regional Office - Buffalo","716-366-6400","http://ctnrc.com/","05/20/2020","0","0","NHBEDSAV","216","30","5","42.474426","-79.362961"
"106","Heritage Park Rehab & Skilled Nursing","0602310N","150 Prather Avenue","Jamestown","NY","14701","Chautauqua","Western Regional Office - Buffalo","716-488-1921","https://www.heritage1886.org/locations/park/","05/20/2020","0","0","NHBEDSAV","146","14","4","42.090252","-79.238281"
"107","Lutheran Retirement Home","0602308N","715 Falconer Street","Jamestown","NY","14701","Chautauqua","Western Regional Office - Buffalo","716-665-4905","http://www.lutheran-jamestown.org/","05/20/2020","0","0","NHBEDSAV","148","20","5","42.114246","-79.209785"
"107","Lutheran Retirement Home","0602308N","715 Falconer Street","Jamestown","NY","14701","Chautauqua","Western Regional Office - Buffalo","716-665-4905","http://www.lutheran-jamestown.org/","05/20/2020","0","0","ADHCPSLOTSAV","20","20","5","42.114246","-79.209785"
"112","Heritage Village Rehab and Skilled Nursing, Inc.","0662301N","4570 Route 60","Gerry","NY","14740","Chautauqua","Western Regional Office - Buffalo","716-985-4612","http://www.heritage1886.org/new/index.php?option=com_content&view=article&id=33&Itemid=207","05/20/2020","0","0","NHBEDSAV","120","0","0","42.196171","-79.251938"
"119","St. Joseph's Hospital - Skilled Nursing Facility","0701302N","555 St. Joseph's Boulevard","Elmira","NY","14902","Chemung","Western Regional Office - Rochester","607-733-6541","http://www.arnothealth.org/long-term-care-st-josephs-hospital","05/20/2020","0","0","NHBEDSAV","79","6","3","42.091446","-76.796860"
"123","Chemung County Health Center-Nursing Facility","0701301N","103 Washington Street","Elmira","NY","14901","Chemung","Western Regional Office - Rochester","607-737-2001","https://www.chemungcountyny.gov/departments/h_-_n_departments/nursing_facility/index.php","05/20/2020","0","0","NHBEDSAV","200","37","5","42.093357","-76.796593"
"124","Elcor Nursing and Rehabilitation Center","0722304N","48 Colonial Drive","Horseheads","NY","14845","Chemung","Western Regional Office - Rochester","607-739-0304","https://elcor.us/","05/20/2020","0","0","ADHCPSLOTSAV","35","35","5","42.162086","-76.854225"
"124","Elcor Nursing and Rehabilitation Center","0722304N","48 Colonial Drive","Horseheads","NY","14845","Chemung","Western Regional Office - Rochester","607-739-0304","https://elcor.us/","05/20/2020","0","0","NHBEDSAV","305","5","2","42.162086","-76.854225"
"126","ChaseHealth Rehab and Residential Care","0823300N","One Terrace Heights, P.O. Box 250","New Berlin","NY","13411","Chenango","Central New York Regional Office","607-847-7000","http://www.chasenursinghome.com/","05/13/2020","1","1","NHBEDSAV","80","14","4","42.632900","-75.316498"
"129","Chenango Memorial Hospital Inc SNF","0824000N","179 North Broad Street","Norwich","NY","13815","Chenango","Central New York Regional Office","607-337-4111","https://www.nyuhs.org/locations/uhs-chenango-memorial-hospital/","05/20/2020","0","0","NHBEDSAV","80","45","5","42.541813","-75.524773"
"131","Valley View Manor Nursing Home","0824303N","40 Park Street","Norwich","NY","13815","Chenango","Central New York Regional Office","607-334-9931","https://www.valleyviewmanorrehab.com/","05/20/2020","0","0","NHBEDSAV","82","8","3","42.534866","-75.512817"
"133","NYS Veterans Home","0825301N","4211 State Highway 220","Oxford","NY","13830","Chenango","Central New York Regional Office","607-843-3100","http://www.nysvets.org/homes/oxford/","05/20/2020","0","0","NHBEDSAV","242","92","5","42.450512","-75.605316"
"136","Champlain Valley Physicians Hospital Medical Center SNF","0901001N","75 Beekman Street","Plattsburg","NY","12901","Clinton","Capital District Regional Office","518-561-2000","https://www.cvph.org/Departments-and-Programs/Skilled-Nursing/","05/20/2020","0","0","NHBEDSAV","34","1","1","44.700279","-73.466751"
"139","Plattsburgh Rehabilitation and Nursing Center","0901304N","8 Bushey Boulevard","Plattsburgh","NY","12901","Clinton","Capital District Regional Office","518-563-3261","https://plattsburghrehab.com/","05/20/2020","0","0","NHBEDSAV","89","24","5","44.682777","-73.460121"
"139","Plattsburgh Rehabilitation and Nursing Center","0901304N","8 Bushey Boulevard","Plattsburgh","NY","12901","Clinton","Capital District Regional Office","518-563-3261","https://plattsburghrehab.com/","05/20/2020","0","0","ADHCPSLOTSAV","24","0","0","44.682777","-73.460121"
"140","Meadowbrook Healthcare","0901303N","154 Prospect Avenue","Plattsburgh","NY","12901","Clinton","Capital District Regional Office","518-563-5440","http://www.meadowbrookhealth.com/","05/20/2020","0","0","NHBEDSAV","287","66","5","44.703545","-73.473961"
"144","Clinton County Nursing Home","0952300N","16 Flynn Avenue","Plattsburgh","NY","12901","Clinton","Capital District Regional Office","518-563-0950","http://www.clintoncountygov.com/Departments/NursingHome/NursingHomeHomePage.html","05/13/2020","1","1","NHBEDSAV","80","10","4","44.680717","-73.456497"
"150","FASNY Firemen's Home","1001303N","125 Harry-Howard Avenue","Hudson","NY","12534","Columbia","Capital District Regional Office","518-828-7695","http://www.firemenshome.com/","04/15/2020","5","4","NHBEDSAV","92","17","4","42.255623","-73.777390"
"152","Pine Haven Home","1021301N","NY Route 217","Philmont","NY","12565","Columbia","Capital District Regional Office","518-672-4021","https://pinehavencarecenter.com/","05/20/2020","0","0","NHBEDSAV","120","43","5","42.248978","-73.649857"
"154","The Grand Rehabilitation and Nursing at Barnwell","1023302N","3230 Church Street","Valatie","NY","12184","Columbia","Capital District Regional Office","518-758-6222","http://facilities.thegrandhealthcare.com/barnwell","05/20/2020","0","0","ADHCPSLOTSAV","40","40","5","42.417980","-73.675468"
"154","The Grand Rehabilitation and Nursing at Barnwell","1023302N","3230 Church Street","Valatie","NY","12184","Columbia","Capital District Regional Office","518-758-6222","http://facilities.thegrandhealthcare.com/barnwell","05/20/2020","0","0","NHBEDSAV","236","87","5","42.417980","-73.675468"
"156","Livingston Hills Nursing and Rehabilitation Center","1063302N","2781 Route 9","Livingston","NY","12541","Columbia","Capital District Regional Office","518-851-3041","http://livingstonhills.com/","05/20/2020","0","0","BIBEDSAV","40","2","1","42.139454","-73.784914"
"156","Livingston Hills Nursing and Rehabilitation Center","1063302N","2781 Route 9","Livingston","NY","12541","Columbia","Capital District Regional Office","518-851-3041","http://livingstonhills.com/","05/20/2020","0","0","NHBEDSAV","120","30","5","42.139454","-73.784914"
"160","Cortland Park Rehabilitation and Nursing Center","1101310N","193 Clinton Avenue","Cortland","NY","13045","Cortland","Central New York Regional Office","607-756-9921","http://www.cortlandparkrehab.com/","05/20/2020","0","0","NHBEDSAV","120","12","4","42.611557","-76.164902"
"161","Crown Park Rehabilitation and Nursing Center","1101312N","28 Kellogg Road","Cortland","NY","13045","Cortland","Central New York Regional Office","607-753-9631","http://crowncenterrehab.com/","05/20/2020","0","0","NHBEDSAV","200","36","5","42.595219","-76.160072"
"169","Robinson Terrace Rehabilitation and Nursing Center","1225001N","28652 State Highway 23","Stamford","NY","12167","Delaware","Capital District Regional Office","607-652-7521","http://www.robinsonterrace.com/longterm","05/20/2020","0","0","NHBEDSAV","120","11","4","42.411770","-74.598083"
"171","Mountainside Residential Care Center","1226300N","42158 State Highway #28","Margaretville","NY","12455","Delaware","Capital District Regional Office","845-586-1800","https://www.hahv.org/mountainside-residential-care-center","05/20/2020","0","0","NHBEDSAV","82","3","2","42.147366","-74.641708"
"186","The Pines at Poughkeepsie Center for Nursing & Rehabilitation","1302308N","100 Franklin Street","Poughkeepsie","NY","12601","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-454-4100","http://www.pinesatpoughkeepsie.com/","05/20/2020","0","0","NHBEDSAV","200","56","5","41.695976","-73.929611"
"189","The Grand Rehabilitation and Nursing at Pawling","1322302N","9 Reservoir Road","Pawling","NY","12564","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-855-5700","http://facilities.thegrandhealthcare.com/pawling/","05/20/2020","0","0","NHBEDSAV","122","25","5","41.574398","-73.591888"
"191","Sapphire Nursing at Wappingers","1324303N","37 Mesier Avenue","Wappingers Falls","NY","12590","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-297-3793","http://elant.org/?page_id=139","05/06/2020","2","2","NHBEDSAV","62","2","1","41.594684","-73.917656"
"193","Northern Dutchess Res Health Care Facility, Inc","1327302N","6525 Springbrook Avenue","Rhinebeck","NY","12572","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-871-3760","https://www.healthquest.org/affiliates/thompson-house.aspx","05/20/2020","0","0","NHBEDSAV","100","7","3","41.934959","-73.911369"
"194","Ferncliff Nursing Home Co Inc","1327300N","21 Ferncliff Dr","Rhinebeck","NY","12572","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-876-2011","https://www.archcare.org/nursing-homes/ferncliff","05/20/2020","0","0","NHBEDSAV","326","57","5","41.941833","-73.935341"
"195","The Baptist Home at Brookmeade","1327301N","46 Brookmeade Drive","Rhinebeck","NY","12572","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-876-2071","http://communityatbrookmeade.com/the-baptist-home/","05/13/2020","1","1","NHBEDSAV","120","11","4","41.926517","-73.892136"
"201","Fishkill Center for Rehabilitation and Nursing","1301302N","22 Robert R. Kasin Way","Beacon","NY","12508","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-831-8704","http://elant.org/?page_id=136","05/20/2020","0","0","NHBEDSAV","160","22","5","41.521412","-73.972733"
"202","The Eleanor Nursing Care Center","1356303N","419 North Quaker Lane","Hyde Park","NY","12538","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-229-9177","http://www.theeleanor.net/","05/20/2020","0","0","NHBEDSAV","120","17","4","41.795429","-73.865288"
"203","Renaissance Rehabilitation and Nursing Care Center","1356304N","4975 Albany Post Road","Staatsburg","NY","12580","Dutchess","Metropolitan Area Regional Office - New Rochelle","845-889-4500","https://profiles.health.ny.gov/nursing_home/view/150358","05/20/2020","0","0","NHBEDSAV","120","7","3","41.832550","-73.933640"
"214","Mercy Hospital Skilled Nursing Facility","1401008N","55 Melroy Avenue","Lackawanna","NY","14218","Erie","Western Regional Office - Buffalo","716-828-2300","http://www.chsbuffalo.org/Facilities/NursingHomes/MercySNF","05/20/2020","0","0","NHBEDSAV","84","2","1","42.827366","-78.820946"
"232","Elderwood at Amherst","1451307N","4459 Bailey Ave","Amherst","NY","14226","Erie","Western Regional Office - Buffalo","716-835-2543","http://www.elderwood.com/location/elderwood-at-amherst/","05/20/2020","0","0","NHBEDSAV","92","16","4","42.977028","-78.813683"
"244","Humboldt House Rehabilitation and Nursing Center","1401340N","64 Hager Street","Buffalo","NY","14208","Erie","Western Regional Office - Buffalo","716-886-4377","http://humboldthouse.org/","05/20/2020","0","0","NHBEDSAV","173","46","5","42.921112","-78.848213"
"252","St Catherine Laboure Health Care Center","1401324N","2157 Main Street","Buffalo","NY","14214","Erie","Western Regional Office - Buffalo","716-862-1450","http://www.chsbuffalo.org/Facilities/SSFacilities/SCL","05/20/2020","0","0","ADHCPSLOTSAV","25","25","5","42.929050","-78.849953"
"252","St Catherine Laboure Health Care Center","1401324N","2157 Main Street","Buffalo","NY","14214","Erie","Western Regional Office - Buffalo","716-862-1450","http://www.chsbuffalo.org/Facilities/SSFacilities/SCL","05/20/2020","0","0","NHBEDSAV","80","17","4","42.929050","-78.849953"
"254","Ellicott Center for Rehabilitation and Nursing","1401337N","200 Seventh Street","Buffalo","NY","14201","Erie","Western Regional Office - Buffalo","716-847-2500","https://centershealthcare.com/ellicott_center/","05/13/2020","1","1","NHBEDSAV","153","7","3","42.890366","-78.883644"
"266","Safire Rehabilitation of Northtowns, LLC","1403304N","2799 Sheridan Drive","Tonawanda","NY","14150","Erie","Western Regional Office - Buffalo","716-837-4466","http://www2.erie.gov/saferseniorhomes/index.php?q=safire-rehabilitation-northtowns-llc","05/20/2020","0","0","NHBEDSAV","100","41","5","42.980705","-78.829781"
"268","Mcauley Residence","1404000N","1503 Military Road","Kenmore","NY","14217","Erie","Western Regional Office - Buffalo","716-447-6600","http://www.chsbuffalo.org/Facilities/NursingHomes/McAuley","05/20/2020","0","0","NHBEDSAV","160","114","5","42.978001","-78.885818"
"269","Schofield Residence","1404300N","3333 Elmwood Avenue","Kenmore","NY","14217","Erie","Western Regional Office - Buffalo","716-874-1566","http://www.schofieldcare.org/","05/20/2020","0","0","NHBEDSAV","120","10","4","42.988373","-78.878601"
"269","Schofield Residence","1404300N","3333 Elmwood Avenue","Kenmore","NY","14217","Erie","Western Regional Office - Buffalo","716-874-1566","http://www.schofieldcare.org/","05/20/2020","0","0","ADHCPSLOTSAV","120","0","0","42.988373","-78.878601"
"272","Elderwood at Lancaster","1406303N","1818 Como Park Blvd","Lancaster","NY","14086","Erie","Western Regional Office - Buffalo","716-683-6165","http://www.elderwood.com/location/elderwood-at-lancaster/","05/20/2020","0","0","NHBEDSAV","96","18","4","42.892838","-78.684792"
"274","Comprehensive Rehabilitation and Nursing Center at Williamsville","1421308N","147 Reist Street","Williamsville","NY","14221","Erie","Western Regional Office - Buffalo","716-633-5400","http://www2.erie.gov/saferseniorhomes/index.php?q=comprehensive-rehabilitation-and-nursing-center-williamsville","05/20/2020","0","0","NHBEDSAV","137","5","2","42.965672","-78.751503"
"277","Brooklyn-Queens Nursing Home","7001382N","2749 Linden Blvd","Brooklyn","NY","11208","Kings","Metropolitan Area Regional Office - New York City","718-277-5100","https://profiles.health.ny.gov/nursing_home/view/150370","05/13/2020","1","1","NHBEDSAV","140","37","5","40.669674","-73.862778"
"278","Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC","1422303N","292 Main Street","East Aurora","NY","14052","Erie","Western Regional Office - Buffalo","716-652-1560","http://www.absolutcare.com/locations/?id=55","05/20/2020","0","0","NHBEDSAV","320","101","5","42.768101","-78.623482"
"281","Jennie B Richmond Chaffee Nursing Home Company Inc","1427000N","222 East Main Street","Springville","NY","14141","Erie","Western Regional Office - Buffalo","716-592-2871","http://www.bertrandchaffee.com/longtermcare","05/20/2020","0","0","NHBEDSAV","80","24","5","42.508579","-78.659195"
"282","Fiddlers Green Manor Rehabilitation and Nursing Center","1427303N","168 West Main Street","Springville","NY","14141","Erie","Western Regional Office - Buffalo","716-592-4781","http://www.fiddlersgreenmanor.com/","05/20/2020","0","0","NHBEDSAV","82","8","3","42.508789","-78.673546"
"288","Beechwood Homes","1451306N","2235 Millersport Highway","Getzville","NY","14068","Erie","Western Regional Office - Buffalo","716-688-8822","http://www.beechwoodcare.org/","05/20/2020","0","0","NHBEDSAV","272","50","5","43.009171","-78.772995"
"294","Garden Gate Health Care Facility","1455300N","2365 Union Road","Cheektowaga","NY","14227","Erie","Western Regional Office - Buffalo","716-668-8100","https://www.mcguiregroup.com/locations/garden-gate/","05/20/2020","0","0","NHBEDSAV","184","50","5","42.876450","-78.753273"
"296","Brothers of Mercy Nursing & Rehabilitation Center","1456300N","10570 Bergtold Road","Clarence","NY","14031","Erie","Western Regional Office - Buffalo","716-759-6985","http://brothersofmercy.org/","05/20/2020","0","0","NHBEDSAV","240","33","5","42.966110","-78.594223"
"299","Elderwood at Grand Island","1464302N","2850 Grand Island Blvd","Grand Island","NY","14072","Erie","Western Regional Office - Buffalo","716-773-5900","http://www.elderwood.com/riverwood/index.php","05/20/2020","0","0","NHBEDSAV","90","9","3","43.039127","-78.979385"
"300","Seneca Health Care Center","1474301N","2987 Seneca Street","West Seneca","NY","14224","Erie","Western Regional Office - Buffalo","716-828-0500","https://www.mcguiregroup.com/locations/seneca/","05/20/2020","0","0","NHBEDSAV","160","66","5","42.839550","-78.782463"
"305","Essex Center for Rehabilitation and Healthcare","1552300N","81 Park Street","Elizabethtown","NY","12932","Essex","Capital District Regional Office","518-873-3570","http://www.co.essex.ny.us/HNH.asp","05/20/2020","0","0","NHBEDSAV","100","4","2","44.214958","-73.596176"
"310","Elderwood at Ticonderoga","1527301N","1019 Wicker Street","Ticonderoga","NY","12883","Essex","Capital District Regional Office","518-585-6771","http://www.elderwood.com/location/elderwood-at-ticonderoga/","05/20/2020","0","0","NHBEDSAV","84","8","3","43.849476","-73.435593"
"315","Elderwood of Uihlein at Lake Placid","1560302N","185 Old Military Road","Lake Placid","NY","12946","Essex","Capital District Regional Office","518-523-2464","http://www.elderwood.com/location/elderwood-of-uihlein-at-lake-placid/","05/20/2020","0","0","NHBEDSAV","108","15","4","44.265972","-73.983253"
"320","Mercy Living Center","1620300N","114 Wawbeek Ave","Tupper Lake","NY","12986","Franklin","Capital District Regional Office","518-359-3355","https://www.adirondackhealth.org/mercy-living-center","05/20/2020","0","0","DIALYSISDEN","4",".","1","44.217003","-74.462776"
"320","Mercy Living Center","1620300N","114 Wawbeek Ave","Tupper Lake","NY","12986","Franklin","Capital District Regional Office","518-359-3355","https://www.adirondackhealth.org/mercy-living-center","05/20/2020","0","0","PEDVENTCAP","4",".","1","44.217003","-74.462776"
"320","Mercy Living Center","1620300N","114 Wawbeek Ave","Tupper Lake","NY","12986","Franklin","Capital District Regional Office","518-359-3355","https://www.adirondackhealth.org/mercy-living-center","05/20/2020","0","0","NHBEDSAV","60","2","1","44.217003","-74.462776"
"326","Alice Hyde Medical Center","1624000N","45 Sixth Street","Malone","NY","12953","Franklin","Capital District Regional Office","518-481-8000","https://www.alicehyde.com/","05/20/2020","0","0","NHBEDSAV","135","14","4","44.857291","-74.290803"
"331","Nathan Littauer Hospital Nursing Home","1701000N","99 East State Street","Gloversville","NY","12078","Fulton","Capital District Regional Office","518-773-5611","http://www.nlh.org/nursing-home","05/20/2020","0","0","NHBEDSAV","84","12","4","43.068096","-74.330643"
"335","Wells Nursing Home Inc","1702300N","201 W Madison Avenue","Johnstown","NY","12095","Fulton","Capital District Regional Office","518-762-4546","http://wellsnursinghome.org/","05/20/2020","0","0","ADHCPSLOTSAV","22","0","0","43.000950","-74.375664"
"335","Wells Nursing Home Inc","1702300N","201 W Madison Avenue","Johnstown","NY","12095","Fulton","Capital District Regional Office","518-762-4546","http://wellsnursinghome.org/","05/20/2020","0","0","NHBEDSAV","100","23","5","43.000950","-74.375664"
"337","Fulton Center for Rehabilitation and Healthcare","1754301N","847 Cohwy 122","Gloversville","NY","12078","Fulton","Capital District Regional Office","518-773-3400","https://centershealthcare.com/fulton_center/","05/20/2020","0","0","NHBEDSAV","176","27","5","43.072311","-74.370544"
"343","The Grand Rehabilitation and Nursing at Batavia","1801309N","257 State St","Batavia","NY","14020","Genesee","Western Regional Office - Buffalo","585-343-1300","http://facilities.thegrandhealthcare.com/batavia","05/20/2020","0","0","NHBEDSAV","62","2","1","43.009781","-78.181778"
"344","Premier Genesee Center for Nursing and Rehabilitation","1801308N","278 Bank Street","Batavia","NY","14020","Genesee","Western Regional Office - Buffalo","585-344-0584","http://www.co.genesee.ny.us/departments/nursinghome/","05/20/2020","0","0","ADHCPSLOTSAV","13","13","4","43.008652","-78.177483"
"344","Premier Genesee Center for Nursing and Rehabilitation","1801308N","278 Bank Street","Batavia","NY","14020","Genesee","Western Regional Office - Buffalo","585-344-0584","http://www.co.genesee.ny.us/departments/nursinghome/","05/20/2020","0","0","NHBEDSAV","160","17","4","43.008652","-78.177483"
