Measurement Year,Measurement Period,Program Type,Plan Name,Plan ID,CG Area,CG Domain,Domain Rating,Measure Name,Measure Category,Measure Type,Region,Critical Value,Average of Critical Values,Domain Score,Average of Domain Scores,Standard Deviation of Domain Scores,Total Stars,Average of Total Stars,Standard Deviation of Total Stars,Member Services Phone Numbers,Web Sites
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,ADL Stable or Improved,3,ADL Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,-1.62,0.1,4.33,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Pain Intensity Stable or Improved,4,Pain Intensity Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,2.39,-0.62,4.13,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Shortness of Breath Stable or Improved,3,Shortness of Breath Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,0.78,-0.34,4.81,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Urinary Continence Stable or Improved,3,Urinary Continence Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,-0.38,0.11,3.8,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Overall,Overall,3,Overall,Overall,Overall,New York City,,,,,,,,,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Advance Directives,3,Talked About Appointing for Health Decisions,Quality,Prevalence,New York City,1.69,1.69,-0.07,0.23,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,New York City,3.29,3.29,-1.52,-0.56,3.79,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Dental Exam,Quality,Prevalence,New York City,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Eye Exam,Quality,Prevalence,New York City,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Influenza Vaccination,Quality,Prevalence,New York City,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Hearing Exam,Quality,Prevalence,New York City,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Mammogram,Quality,Prevalence,New York City,3.25,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Pneumococcal Vaccination,Quality,Prevalence,New York City,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Quality of Life,Quality of Life,2,Not Lonely or Not Distressed,Quality,Prevalence,New York City,3.29,2.49,-3.47,-0.51,3.27,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Quality of Life,Quality of Life,2,Involved in Decisions,Satisfaction,Prevalence,New York City,1.69,2.49,-3.47,-0.51,3.27,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Care Manager,3,Rating of Care Manager,Satisfaction,Prevalence,New York City,1.69,1.69,0.13,0.01,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Health Plan,2,Rating of Health Plan,Satisfaction,Prevalence,New York City,1.69,1.69,-1.24,-0.04,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Regular Visiting Nurse,3,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,New York City,1.69,1.69,-0.19,-0.05,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Timeliness of Aide,3,Timeliness of Home Health Aide,Satisfaction,Prevalence,New York City,1.69,1.69,0.26,-0.1,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,ADL Stable or Improved,3,ADL Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,-1.62,0.1,4.33,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Pain Intensity Stable or Improved,4,Pain Intensity Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,2.39,-0.62,4.13,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Shortness of Breath Stable or Improved,3,Shortness of Breath Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,0.78,-0.34,4.81,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Stability or Improvement,Urinary Continence Stable or Improved,3,Urinary Continence Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,-0.38,0.11,3.8,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Overall,Overall,4,Overall,Overall,Overall,Hudson Valley,,,,,,,,,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Advance Directives,3,Talked About Appointing for Health Decisions,Quality,Prevalence,Hudson Valley,1.69,1.69,0.54,0.23,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,Hudson Valley,3.29,3.29,-1.33,-0.56,3.79,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Dental Exam,Quality,Prevalence,Hudson Valley,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Eye Exam,Quality,Prevalence,Hudson Valley,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Influenza Vaccination,Quality,Prevalence,Hudson Valley,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Hearing Exam,Quality,Prevalence,Hudson Valley,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Mammogram,Quality,Prevalence,Hudson Valley,3.25,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Pneumococcal Vaccination,Quality,Prevalence,Hudson Valley,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Not Lonely or Not Distressed,Quality,Prevalence,Hudson Valley,3.29,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Involved in Decisions,Satisfaction,Prevalence,Hudson Valley,1.69,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Care Manager,5,Rating of Care Manager,Satisfaction,Prevalence,Hudson Valley,1.69,1.69,1.74,0.01,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Health Plan,4,Rating of Health Plan,Satisfaction,Prevalence,Hudson Valley,1.69,1.69,0.53,-0.04,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Regular Visiting Nurse,4,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,Hudson Valley,1.69,1.69,0.59,-0.05,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Timeliness of Aide,3,Timeliness of Home Health Aide,Satisfaction,Prevalence,Hudson Valley,1.69,1.69,0.35,-0.1,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,ADL Stable or Improved,4,ADL Stable or Improved,Quality,Over-Time,Hudson Valley,3.29,3.29,4.72,0.1,4.33,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Pain Intensity Stable or Improved,3,Pain Intensity Stable or Improved,Quality,Over-Time,Hudson Valley,3.29,3.29,-1.81,-0.62,4.13,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Shortness of Breath Stable or Improved,4,Shortness of Breath Stable or Improved,Quality,Over-Time,Hudson Valley,3.29,3.29,4.43,-0.34,4.81,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Urinary Continence Stable or Improved,3,Urinary Continence Stable or Improved,Quality,Over-Time,Hudson Valley,3.29,3.29,-1.78,0.11,3.8,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Overall,Overall,4,Overall,Overall,Overall,Long Island,,,,,,,,,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Advance Directives,3,Talked About Appointing for Health Decisions,Quality,Prevalence,Long Island,1.69,1.69,0.54,0.23,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,Long Island,3.29,3.29,-1.33,-0.56,3.79,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Dental Exam,Quality,Prevalence,Long Island,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Eye Exam,Quality,Prevalence,Long Island,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Influenza Vaccination,Quality,Prevalence,Long Island,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Hearing Exam,Quality,Prevalence,Long Island,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Mammogram,Quality,Prevalence,Long Island,3.25,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Pneumococcal Vaccination,Quality,Prevalence,Long Island,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Not Lonely or Not Distressed,Quality,Prevalence,Long Island,3.29,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Involved in Decisions,Satisfaction,Prevalence,Long Island,1.69,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Care Manager,5,Rating of Care Manager,Satisfaction,Prevalence,Long Island,1.69,1.69,1.74,0.01,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Health Plan,4,Rating of Health Plan,Satisfaction,Prevalence,Long Island,1.69,1.69,0.53,-0.04,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Regular Visiting Nurse,4,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,Long Island,1.69,1.69,0.59,-0.05,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Timeliness of Aide,3,Timeliness of Home Health Aide,Satisfaction,Prevalence,Long Island,1.69,1.69,0.35,-0.1,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,ADL Stable or Improved,4,ADL Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,4.72,0.1,4.33,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Pain Intensity Stable or Improved,3,Pain Intensity Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,-1.81,-0.62,4.13,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Shortness of Breath Stable or Improved,4,Shortness of Breath Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,4.43,-0.34,4.81,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Urinary Continence Stable or Improved,3,Urinary Continence Stable or Improved,Quality,Over-Time,Long Island,3.29,3.29,-1.78,0.11,3.8,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Overall,Overall,4,Overall,Overall,Overall,New York City,,,,,,,,,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Advance Directives,3,Talked About Appointing for Health Decisions,Quality,Prevalence,New York City,1.69,1.69,0.54,0.23,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,New York City,3.29,3.29,-1.33,-0.56,3.79,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Dental Exam,Quality,Prevalence,New York City,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Eye Exam,Quality,Prevalence,New York City,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Influenza Vaccination,Quality,Prevalence,New York City,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Hearing Exam,Quality,Prevalence,New York City,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Mammogram,Quality,Prevalence,New York City,3.25,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Preventive Care,Prevention,1,Pneumococcal Vaccination,Quality,Prevalence,New York City,3.29,3.29,-9.38,-1.03,4.31,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Not Lonely or Not Distressed,Quality,Prevalence,New York City,3.29,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Quality of Life,Quality of Life,3,Involved in Decisions,Satisfaction,Prevalence,New York City,1.69,2.49,-1.68,-0.51,3.27,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Care Manager,5,Rating of Care Manager,Satisfaction,Prevalence,New York City,1.69,1.69,1.74,0.01,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Health Plan,4,Rating of Health Plan,Satisfaction,Prevalence,New York City,1.69,1.69,0.53,-0.04,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Rating of Regular Visiting Nurse,4,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,New York City,1.69,1.69,0.59,-0.05,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Satisfaction with Care,Timeliness of Aide,3,Timeliness of Home Health Aide,Satisfaction,Prevalence,New York City,1.69,1.69,0.35,-0.1,1,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,ADL Stable or Improved,4,ADL Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,4.72,0.1,4.33,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Pain Intensity Stable or Improved,3,Pain Intensity Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,-1.81,-0.62,4.13,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Shortness of Breath Stable or Improved,4,Shortness of Breath Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,4.43,-0.34,4.81,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,PARTIAL,AgeWell New York,3481927,Stability or Improvement,Urinary Continence Stable or Improved,3,Urinary Continence Stable or Improved,Quality,Over-Time,New York City,3.29,3.29,-1.78,0.11,3.8,40,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Overall,Overall,3,Overall,Overall,Overall,N/A,,,,,,,,,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Advance Directives,N/A,Talked About Appointing for Health Decisions,Quality,Prevalence,N/A,1.69,,0.23,0.23,1,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,N/A,3.29,3.29,-1.56,-0.56,3.79,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Dental Exam,Quality,Prevalence,N/A,3.29,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Eye Exam,Quality,Prevalence,N/A,3.29,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Influenza Vaccination,Quality,Prevalence,N/A,3.29,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Hearing Exam,Quality,Prevalence,N/A,3.29,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Mammogram,Quality,Prevalence,N/A,3.25,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Preventive Care,Prevention,2,Pneumococcal Vaccination,Quality,Prevalence,N/A,3.29,3.29,-4.69,-1.03,4.31,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Quality of Life,Quality of Life,3,Not Lonely or Not Distressed,Quality,Prevalence,N/A,3.29,3.29,-0.68,-0.51,3.27,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Quality of Life,Quality of Life,3,Involved in Decisions,Satisfaction,Prevalence,N/A,1.69,3.29,-0.68,-0.51,3.27,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Satisfaction with Care,Rating of Care Manager,N/A,Rating of Care Manager,Satisfaction,Prevalence,N/A,1.69,,0.01,0.01,1,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Satisfaction with Care,Rating of Health Plan,N/A,Rating of Health Plan,Satisfaction,Prevalence,N/A,1.69,,-0.04,-0.04,1,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Satisfaction with Care,Rating of Regular Visiting Nurse,N/A,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,N/A,1.69,,-0.05,-0.05,1,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
2018,2018 January - June,FIDA,AgeWell New York FIDA,3864495,Satisfaction with Care,Timeliness of Aide,N/A,Timeliness of Home Health Aide,Satisfaction,Prevalence,N/A,1.69,,-0.1,-0.1,1,34,36,5.26,1-866-586-8044,www.agewellnewyork.com
